All Saints Utd. vs Green City | 0 - 0 (NS)
Belgrano vs Banfield | 1 - 0 (FINISHED)
Sao Paulo vs Primavera | 2 - 1 (FINISHED)
Bangu vs Boavista | 0 - 0 (NS)
Brighton vs Crystal Palace | 0 - 0 (NS)
Wotton vs UWI Blackbirds | 0 - 0 (NS)
Portuguesa RJ vs Nova Iguacu | 1 - 0 (FINISHED)
Botev Plovdiv vs Beroe | 0 - 0 (NS)
Noroeste vs Santos | 0 - 0 (NS)
Etoile Filante vs CFFEB | 1 - 1 (FINISHED)
Dobrudzha vs Septemvri Sofia | 3 - 0 (FINISHED)
Slavia Sofia vs Lok. Plovdiv | 0 - 2 (FINISHED)
Tahiti United vs Bula | 1 - 0 (FINISHED)
Club Brugge KV vs St. Liege | 3 - 0 (FINISHED)
FC Loto vs Coton FC | 1 - 0 (FINISHED)
Bumamuru vs Inter Star | 0 - 0 (NS)
Internacional vs Sao Luiz | 0 - 0 (NS)
Blooming vs Oriente Petrolero | 0 - 0 (NS)
ASO Chlef vs Saoura | 0 - 0 (NS)
Platense vs Independiente | 0 - 0 (NS)
Macarthur Rams vs Western City Rangers | 0 - 0 (NS)
Cruzeiro vs America MG | 0 - 0 (NS)
KV Mechelen vs Antwerp | 0 - 0 (NS)
Posusje vs Zeljeznicar | 0 - 0 (NS)
Sydney Utd vs UNSW | 0 - 0 (NS)
Melbourne City W vs Brisbane Roar W | 0 - 0 (NS)
Wolfsberger AC vs Grazer AK | 0 - 0 (NS)
Dadje vs Damissa | 0 - 0 (NS)
River Plate vs Tigre | 0 - 0 (NS)
Sturm Graz vs Ried | 0 - 0 (NS)
Newells Old Boys vs Defensa y Justicia | 0 - 0 (NS)
South Melbourne vs Vanuatu United | 0 - 0 (NS)
Sumqayit vs Zira | 0 - 0 (NS)
Genk vs Anderlecht | 0 - 0 (NS)
Flamengo RJ vs Sampaio Correa FE | 0 - 0 (NS)
Royale Union SG vs RAAL La Louviere | 0 - 0 (NS)
Vasco vs Botafogo RJ | 0 - 0 (1ST HALF)
Aurora vs Universitario de Vinto | 2 - 1 (FINISHED)
Sarmiento Junin vs Atl. Tucuman | 0 - 0 (NS)
Ellerton FC vs Bagatelle SSC | 0 - 0 (NS)
